"filename", "language", "XML", "Python", "Log", "comment", "blank", "total"
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/Failed Code.py", "Python", 0, 0, 0, 77, 8, 85
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/GEWY.py", "Python", 0, 267, 0, 17, 89, 373
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/GuiHitboxOBJ.py", "Python", 0, 10, 0, 1, 2, 13
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/IntersectionDefinition.py", "Python", 0, 14, 0, 0, 4, 18
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/LineSegmentDefinition.py", "Python", 0, 56, 0, 0, 11, 67
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/Main.py", "Python", 0, 79, 0, 14, 25, 118
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/MapProcessing.py", "Python", 0, 88, 0, 21, 22, 131
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/ObjectDef.py", "Python", 0, 8, 0, 0, 3, 11
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/ProjectileDefinition.py", "Python", 0, 10, 0, 0, 3, 13
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/RayCastDefinition.py", "Python", 0, 30, 0, 6, 9, 45
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/TurretDefinition.py", "Python", 0, 44, 0, 13, 14, 71
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/VOBJ.py", "Python", 0, 43, 0, 2, 21, 66
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v1/line-intersection-efficiency-test.py", "Python", 0, 38, 0, 0, 23, 61
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/Chunk_Struct.py", "Python", 0, 41, 0, 22, 21, 84
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/EdgeDetectionAlgorithm.py", "Python", 0, 70, 0, 14, 30, 114
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/Failed Code.py", "Python", 0, 0, 0, 92, 12, 104
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/Frustum_Culling_Test.py", "Python", 0, 42, 0, 6, 30, 78
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/GEWY.py", "Python", 0, 267, 0, 17, 89, 373
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/GenerateChunkMapFromImage.py", "Python", 0, 34, 0, 0, 19, 53
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/GuiHitboxOBJ.py", "Python", 0, 10, 0, 1, 2, 13
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/IntersectionDefinition.py", "Python", 0, 14, 0, 4, 6, 24
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/LineSegmentDefinition.py", "Python", 0, 56, 0, 0, 11, 67
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/Main.py", "Python", 0, 111, 0, 34, 46, 191
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/MapProcessing.py", "Python", 0, 60, 0, 55, 41, 156
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/ObjectDef.py", "Python", 0, 8, 0, 0, 3, 11
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/ProjectileDefinition.py", "Python", 0, 10, 0, 0, 3, 13
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/RayCastDefinition.py", "Python", 0, 69, 0, 21, 23, 113
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/TurretDefinition.py", "Python", 0, 57, 0, 18, 25, 100
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/VOBJ.py", "Python", 0, 43, 0, 2, 21, 66
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/debug.log", "Log", 0, 0, 2, 0, 1, 3
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v2/line-intersection-efficiency-test.py", "Python", 0, 38, 0, 0, 23, 61
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/Chunk_Struct.py", "Python", 0, 41, 0, 22, 21, 84
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/EdgeDetectionAlgorithm.py", "Python", 0, 70, 0, 14, 30, 114
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/Failed Code.py", "Python", 0, 0, 0, 97, 16, 113
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/Frustum_Culling_Test.py", "Python", 0, 42, 0, 6, 30, 78
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/GEWY.py", "Python", 0, 267, 0, 17, 89, 373
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/GenerateChunkMapFromImage.py", "Python", 0, 35, 0, 0, 19, 54
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/GuiHitboxOBJ.py", "Python", 0, 10, 0, 1, 2, 13
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/IntersectionDefinition.py", "Python", 0, 14, 0, 4, 6, 24
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/LineSegmentDefinition.py", "Python", 0, 56, 0, 0, 11, 67
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/Main.py", "Python", 0, 111, 0, 35, 47, 193
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/MapProcessing.py", "Python", 0, 109, 0, 43, 53, 205
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/ObjectDef.py", "Python", 0, 8, 0, 0, 3, 11
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/ProjectileDefinition.py", "Python", 0, 10, 0, 0, 3, 13
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/RayCastDefinition.py", "Python", 0, 84, 0, 26, 32, 142
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/TurretDefinition.py", "Python", 0, 61, 0, 17, 26, 104
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/VOBJ.py", "Python", 0, 43, 0, 2, 21, 66
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/debug.log", "Log", 0, 0, 2, 0, 1, 3
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v3/line-intersection-efficiency-test.py", "Python", 0, 38, 0, 0, 23, 61
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/Chunk_Struct.py", "Python", 0, 41, 0, 22, 22, 85
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/EdgeDetectionAlgorithm.py", "Python", 0, 70, 0, 13, 30, 113
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/Failed Code.py", "Python", 0, 0, 0, 375, 76, 451
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/Frustum_Culling_Test.py", "Python", 0, 42, 0, 6, 30, 78
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/GEWY.py", "Python", 0, 401, 0, 25, 135, 561
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/GenerateChunkMapFromImage.py", "Python", 0, 77, 0, 14, 30, 121
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/GuiHitboxOBJ.py", "Python", 0, 10, 0, 1, 2, 13
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/IntersectionDefinition.py", "Python", 0, 14, 0, 4, 6, 24
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/Level_Presets.py", "Python", 0, 8, 0, 25, 4, 37
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/LineSegmentDefinition.py", "Python", 0, 29, 0, 6, 13, 48
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/Main.py", "Python", 0, 326, 0, 56, 110, 492
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/MapFiles/Test_Maps/debug.log", "Log", 0, 0, 1, 0, 1, 2
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/MapProcessing.py", "Python", 0, 131, 0, 34, 59, 224
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/ObjectDef.py", "Python", 0, 8, 0, 0, 3, 11
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/ProjectileDefinition.py", "Python", 0, 10, 0, 0, 3, 13
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/RayCastDefinition.py", "Python", 0, 90, 0, 30, 34, 154
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/SpriteSystem.py", "Python", 0, 84, 0, 7, 27, 118
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/TurretDefinition.py", "Python", 0, 200, 0, 28, 47, 275
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/VOBJ.py", "Python", 0, 69, 0, 2, 32, 103
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/VOBJ_TEST.py", "Python", 0, 4, 0, 0, 3, 7
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/Zombie_Definition.py", "Python", 0, 79, 0, 7, 30, 116
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/aStar.py", "Python", 0, 90, 0, 17, 30, 137
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/line-intersection-efficiency-test.py", "Python", 0, 38, 0, 0, 23, 61
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/pathFindingTest.py", "Python", 0, 125, 0, 7, 31, 163
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/spriteDefinitions.py", "Python", 0, 43, 0, 3, 28, 74
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/New/v4/sprites/Unedited/spriteTest.py", "Python", 0, 32, 0, 17, 15, 64
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/Old/Main.py", "Python", 0, 34, 0, 2, 16, 52
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/Old/MapProcessing.py", "Python", 0, 29, 0, 0, 10, 39
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Code/Old/VOBJ.py", "Python", 0, 43, 0, 2, 21, 66
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Collision_Detection/Collision_Demo.py", "Python", 0, 97, 0, 3, 25, 125
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Collision_Detection/GEWY.py", "Python", 0, 282, 0, 17, 92, 391
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Collision_Detection/GuiHitboxOBJ.py", "Python", 0, 10, 0, 1, 2, 13
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Collision_Detection/ObjectDef.py", "Python", 0, 8, 0, 0, 3, 11
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/Collision_Detection/VOBJ.py", "Python", 0, 55, 0, 2, 30, 87
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/MapGeneration/Chunk_Struct.py", "Python", 0, 30, 0, 17, 19, 66
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/MapGeneration/GenerateChunkMapFromImage.py", "Python", 0, 32, 0, 0, 20, 52
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/MapGeneration/Generating_image_of_map.py", "Python", 0, 15, 0, 0, 6, 21
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/MapGeneration/VOBJ.py", "Python", 0, 43, 0, 2, 21, 66
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/MapGeneration/cVec_test_disregard.py", "Python", 0, 5, 0, 0, 2, 7
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/PathFinding/VOBJ.py", "Python", 0, 43, 0, 2, 21, 66
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/PathFinding/aStar.py", "Python", 0, 84, 0, 13, 27, 124
"/Users/benmaltby/Documents/Python/A_LEVEL_NEA/RayCaster/PathFinding/main.py", "Python", 0, 174, 0, 13, 69, 256
"Total", "-", 30, 7381, 5, 1854, 2911, 12181
